"";"tax_label";"filter_type";"mean_pct_before_backwash";"mean_pct_after_backwash";"stdev_before_backwash";"stdev_after_backwash";"n_samples_before_backwash";"n_samples_after_backwash"
"40";"Acidimicrobiia__Microtrichales__Microtrichaceae__uncultured";"BODAC_1";1,141;2,186;0,178;0,773;3;5
"41";"Gammaproteobacteria__Betaproteobacteriales__Burkholderiaceae__NA";"BODAC_1";2,144;2,076;0,754;0,518;8;6
"42";"Alphaproteobacteria__Rhizobiales__Rhizobiales Incertae Sedis__uncultured";"BODAC_2";1,47;2,079;0,134;;4;1
"43";"Acidobacteriia__Solibacterales__Solibacteraceae (Subgroup 3)__Bryobacter";"BODAC_2";1,761;2,075;0,429;0,832;6;8
"44";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__uncultured";"BODAC_1";1,859;2,069;0,711;1,491;3;6
"45";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__Aridibacter";"BODAC_1";2,02;1,271;0,082;0,221;2;2
"46";"Bacteroidia__Flavobacteriales__Flavobacteriaceae__Flavobacterium";"BODAC_1";2,009;1,827;;0,886;1;2
"47";"Gammaproteobacteria__Betaproteobacteriales__Nitrosomonadaceae__Nitrosomonas";"BODAC_2";;1,987;;;;1
"48";"Blastocatellia (Subgroup 4)__Blastocatellales__Blastocatellaceae__uncultured";"BODAC_2";1,957;1,9;1,451;0,961;3;4
"49";"Planctomycetacia__Planctomycetales__uncultured__metagenome";"BODAC_2";1,912;1,237;1,17;0,213;2;3
"50";"Acidobacteriia__Solibacterales__Solibacteraceae (Subgroup 3)__Bryobacter";"BODAC_1";1,276;1,86;0,214;0,49;4;5
"51";"Planctomycetacia__Gemmatales__Gemmataceae__uncultured";"BODAC_2";1,139;1,821;0,124;1,051;3;8
"52";"Gemmatimonadetes__Gemmatimonadales__Gemmatimonadaceae__uncultured";"BODAC_2";1,337;1,796;0,443;0,62;3;5
"53";"Bacteroidia__Chitinophagales__Chitinophagaceae__uncultured";"BODAC_1";1,75;1,693;0,531;0,587;3;4
